ツイートID,ツイート時刻,ツイート本文,いいね数,リツイート数,ID,ユーザー名,アカウント名,自己紹介文,フォロー数,フォロワー数,アカウント作成日時,自分のフォロー状況,アイコン画像URL,ヘッダー画像URL,WEBサイト
1621369969220132864,2023-02-03_13:48:18,"RT @1000000lome: 🗣️🤚凍結まつり🥶ですわーーーーー‼‼‼

あホッラ‼‼凍結🥶全員凍結🥶💦凍結騒ぎ💃🏃‍♀️🕺凍結祭り😤あホッラ‼‼凍結🥶全員凍結🥶💦凍結騒ぎ💃🏃‍♀️🕺凍結祭り😤あホッラ‼‼凍結🥶全員凍結🥶💦凍結騒ぎ💃🏃‍♀️🕺凍結祭り😤あホッラ‼‼凍結🥶全…",0,13622,935494736256819200,mikage_shinya72,赤髪のイヴ,鍵→ @himitu_ivu,780,518,2017-11-28_22:05:00,False,http://pbs.twimg.com/profile_images/1612094120495058944/-NJGchDu_normal.jpg,,
1621369968863645696,2023-02-03_13:48:18,RT @ikr_4185: この規模の凍結を人力でやってるわけがないので、自動処理だと思うんだけど、これまでも時折凍結祭りしてきてたTwitter運営が今回は割と丁寧に凍結解除のやり方説明してるから、誤BANリスク踏んででもスパムbotを駆逐してやるというアレなのかなぁとは思う,0,138,131781009,mxTTnzhm,星たつゆき,雑な百合SS書き。ゆる系百合作品が好物＆稀にSS書きます、でも殆ど百合ツイートしませんのでご容赦を。その他ゲーム、趣味、料理、日常等、適当に。,172,199,2010-04-11_18:06:42,False,http://pbs.twimg.com/profile_images/897030015694405632/iwXn5qL1_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,https://t.co/hB4klRsPY9
1621369968523890688,2023-02-03_13:48:18,RT @funassyi: (。゜▽゜)凍結祭りとな！ https://t.co/KrGvWJ7Fv0,0,262,1134990164973899778,kazunok09095744,nemu＠sky,sky+雑多垢♡ ♡ 可愛いアイコンはsky雑貨展さんに描いて頂きました♡☺,286,133,2019-06-02_10:08:37,False,http://pbs.twimg.com/profile_images/1550126042043805696/6yZ9DYsH_normal.jpg,,
1621369968108658688,2023-02-03_13:48:18,"RT @kunnbu_26: イーロン「ダイスケ！あれを見てみろ！」

宮川「えええええええええええええ！？」

そこで宮川が目にしたものとは!?

宮川「これみんな一斉にアカウント止められてますやん！」

イーロン「そうさダイスケ！！！！これが世界で一番危険な祭り、凍結祭りさ…",0,116,1117380099974676480,Muntanji2,アイ,よろしく。鶴丸国永最推し夢女 オンエア！/蛍 あんスタ/燐音、凛月 スト/太宰 アル/織田作最推し、太宰推し twst/イデア くる民 一応文字書き20↑ Next⇒SF🔫スパミュ 3/15ソワレ、3/27マチネ,1557,1420,2019-04-14_19:52:30,False,http://pbs.twimg.com/profile_images/1606185895022850049/g4SOd4mw_normal.jpg,,
1621369967940861953,2023-02-03_13:48:18,"@funassyi 凍結祭りー🏮✨
わっしょーい！
└(ﾟ∀ﾟ└)　(┘ﾟ∀ﾟ)┘

ふなちゃんは無事なっしな。
とりあえず今のところ大丈夫だけど、心配なっしな。。 https://t.co/fuCelJDzRR",0,0,2586375709,luckychan252525,こつん💙,"梨の全てを心から尊敬しています😊
’14/ 6/27FB 7/27初RP
奇跡的にふなの日✨
ふな🍐へた飾り’15/4/26 10/16
🍐名札飾り’15/9/12 ’16/2/7 ’17/1/4 8/2 12/29 ’18/9/9 ’19/9/1
ごろー🍐’16/10/29",600,704,2014-06-25_06:15:09,False,http://pbs.twimg.com/profile_images/1249217821839482881/69ebc06g_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,
1621248471079714816,2023-02-03_05:45:31,"RT @kubomatsu: 凍結祭りについてとりあえずざっと調べた感じ
・マロや質問箱のツイート等ツイート文章が全く同じになる投稿を頻繁にしている=bot誤認
・フォローしてない人フォロワーじゃない人へDM送る
・自分の垢でのツイートを自分の別垢でRT
・電話番号承認していな…",0,23731,1353697221552664577,burning_isaka,B-いさか,"ジャスティス学園応援垢
#ジャスティス学園3制作希望
のタグで落書きを投下していきます

タグのまとめサイト⇒https://t.co/Enc1rQc9e1

たまに他の格ゲーも描きます
https://t.co/6EK10gQpen",168,1058,2021-01-25_22:33:22,False,http://pbs.twimg.com/profile_images/1512316645846388737/Xy2ep5I0_normal.jpg,,
1621248466210156545,2023-02-03_05:45:30,"RT @kubomatsu: 凍結祭りについてとりあえずざっと調べた感じ
・マロや質問箱のツイート等ツイート文章が全く同じになる投稿を頻繁にしている=bot誤認
・フォローしてない人フォロワーじゃない人へDM送る
・自分の垢でのツイートを自分の別垢でRT
・電話番号承認していな…",0,23731,739632676391387136,ftmmmfmfuffnf,ぽるか,20↑ FF外🔕 🍝550円,2277,213,2016-06-06_10:39:06,False,http://pbs.twimg.com/profile_images/1508456473311182848/PQ6kBFtx_normal.jpg,,https://t.co/8QbY7ef8If
1621248459075616769,2023-02-03_05:45:28,RT @nomiku_nolife7: みんな！！！！今Twitterで凍結祭りが起きてて、原因はマシュマロやその他連携している人が定期的に同じメッセージを呟くのがスパムと認定されているぽいです！これ見たら秒で連携切ってください！生きて····,0,26,1450468972558749722,maki_makinosuke,まきのすけ_MMD💛🖤🌹,"mhyk💀&DIABOLIKLOVERS🌹💛🖤
DTMer🎹&MMDer🔰&🎻20↑2021.10.20MMD DL
🌹#MMDディアラバが出来るまで
🌹#ディアラバ_ぬい
🌹#MMDディアラバ
Reproduction is prohibited.
Vroid2Pmx(miu様)でモデル作成中♪",310,221,2021-10-19_23:30:20,False,http://pbs.twimg.com/profile_images/1620697232499671040/aPL7knrv_normal.jpg,,https://t.co/f7oTkG6nlr
1621248458773647360,2023-02-03_05:45:28,"凍結祭りやばすぎだろ
使ってたのに普通に凍結されたんだけど",2,0,1027785447542378496,HIRAO_0913,ひらお,18 腐アリ 雑多垢,442,910,2018-08-10_14:15:20,False,http://pbs.twimg.com/profile_images/1433209230635376645/DD3KSrkA_normal.jpg,,
1621248457859297280,2023-02-03_05:45:28,"んー？
なんかがっつりフォロワー減ってるな、凍結祭りエグない？",3,0,162877720,Rinforzando_960,セオノ,"典型的なアッパー系コミュ障だぞ、気を付けろ！
成人済み社会人/馬骨/Among us/イラスト/3DCG
依頼：https://t.co/GaWHsQPsh3

動画投稿@SeonoGames
絵垢@Seono968_artRT
SNRのデバッグとデザインと役職設計と雑務やってます(多)",1734,2081,2010-07-05_08:31:57,False,http://pbs.twimg.com/profile_images/1517874872965550082/u5o7sQ3A_normal.jpg,http://abs.twimg.com/images/themes/theme4/bg.gif,https://t.co/Vmm8n0SR4d
1621248439232401409,2023-02-03_05:45:23,タイムラインの阿鼻叫喚を見る限り、今回の凍結祭りはちょっと今までとは比較にならない規模みたいだ……,0,0,85336617,KnznRopi,コミナトケイ（ろぴ）,"どこかでふみをかくなどしている
趣味を垂れ流すアカウント
ウマ娘／ブルアカ／原神（まったりソロ勢）
告知用（@Wts_mtsti02）",1284,680,2009-10-27_00:12:08,False,http://pbs.twimg.com/profile_images/1485335354161135617/1pV7Q74C_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,
1621248410509799424,2023-02-03_05:45:17,RT @Mizune_01_: 現在凍結祭り起きているらしく、公式さんのヘルプから異議申し立てできますので皆さんお気をつけくださいhttps://t.co/QSYiYPrdYE,0,8933,1364682921039171584,pharaohmi_aru,ファラ崎士元（HPあるからここが凍ってたらググってね）,ファラ崎士元(ふぁらざき しげん)(Shigen Pharazaki)と申します。フォロー、リムーブご自由に。ゲーム配信がメイン。ピラニア飼ってます。コンテンツ総合案内はHPへ［マークは⚰❤‍🩹］［アイコンの絵:@EXiste_BackDrop］,451,451,2021-02-25_06:06:00,False,http://pbs.twimg.com/profile_images/1563361642469261312/MUK1NIpW_normal.jpg,,https://t.co/CrRj3GkvfJ
1621248407548620801,2023-02-03_05:45:16,"寝起きでトレンドの凍結祭りの字面みて、諏訪湖に御神渡りが出現したのかと一瞬思ってしまったw
寝惚けるにもほどがあるわぁw",0,0,806399868,buuco_bu,ぶぅこ@ヘアドネしたい,"人生折り返し過ぎたから「好き」を多めに生きたい⚠エロとビジネス系と発信も反応もないアカウントは即ブロック⚠
好き:動物、美術館、博物館、綺麗なモノ全般、ウルトラ寿司ふぁいやー、背徳の薔薇/アイコンはえるりっちめーかーさん☆人生最初で最後のヘアドネーションのために髪を伸ばしてる。目指せ50cm!",402,112,2012-09-06_18:06:29,False,http://pbs.twimg.com/profile_images/1603368423202861056/ZVyYeKWj_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,https://t.co/bYKQDHcfqD
1621248406814609409,2023-02-03_05:45:16,"RT @kubomatsu: 凍結祭りについてとりあえずざっと調べた感じ
・マロや質問箱のツイート等ツイート文章が全く同じになる投稿を頻繁にしている=bot誤認
・フォローしてない人フォロワーじゃない人へDM送る
・自分の垢でのツイートを自分の別垢でRT
・電話番号承認していな…",0,23731,1409105219720400902,kekatete,🍛@🍝,NO CURRY NO LIFE,45,31,2021-06-27_20:04:56,False,http://pbs.twimg.com/profile_images/1449304780233342976/vDt6-wZh_normal.jpg,,
1621248387655028736,2023-02-03_05:45:11,"電話番号やメールアドレス未登録、定期ツイがあると凍結されやすいらしいけど……
あっちもこっちも凍結祭りで心臓に悪い",1,0,3218852611,tsuzakikids,つーさん,"石雑食🚀🃏、🃏🚀、🦁🚀・腐も女の子も好きな基本箱推し・本誌勢・ネタバレ配慮しないのでスルーできる人推奨・成人済み20↑・Fはご自由に・
ポイピクhttps://t.co/5OzKvY7ZDy

👋https://t.co/YSqLggCprP",508,131,2015-05-18_10:36:12,False,http://pbs.twimg.com/profile_images/1618546920263385090/fn09vw_4_normal.png,http://abs.twimg.com/images/themes/theme1/bg.png,
1621248385931149312,2023-02-03_05:45:11,3時間くらい前にたまたまホームみた時にFFの数がキリがよいなあって思ってたんだけど、今見たらそこから8人消えてて一気にブロ解された……？なんかやばいこと言った？もしかしてこれが噂の凍結祭り？みたいになってる,0,0,1170485920887275521,Riny01083,りに,うたプリと日常/一十木音也くん最推し兄弟贔屓のスタリ箱推し/30↑ / 誤字大王/すごくうるさい/稀に絵を描きます/「一十木音也に興奮するとマジでうるせえ」らしいです。ご注意を。,247,406,2019-09-08_08:56:14,False,http://pbs.twimg.com/profile_images/1615730145750585344/aqxop5pF_normal.jpg,,
1621248384861614080,2023-02-03_05:45:10,凍結祭りと聞いた,1,0,1552133324121862147,wonoi7aka,日本語講座,"成人済　多分雑多 i7とガ粘（🌌🦈 /ピ先行)　成るのよ……！！　本垢→@wowowowoya
うぇぼ→ https://t.co/g8TqquWxKU",53,438,2022-07-27_12:26:54,False,http://pbs.twimg.com/profile_images/1590641509820309504/0f6DIhZz_normal.jpg,,
1621248381682356224,2023-02-03_05:45:10,"凍結祭り…みんな気をつけてね…( ˘ω˘ ) ｽﾔｧ…
お姉さんも心配…！",36,0,1365212233874120706,NecomareEimu,猫稀エイム🐱🔊極楽浄土歌ってみた公開✨,ぐっどえいみんぐ！猫稀(ねこまれ)エイムだよ🐱🔊ジト目サイバー猫系お姉さん◆個人勢 ◆like: #メガニケ/#ペルソナ/#レトロゲー/#モンハン ◆はしゅはぴ∞2期生( @hushappy ) ◆mama:@gomashio_ponz ◆papa:@gunya_pitto ◆DMは原則コラボやお仕事のみ💡,1441,3117,2021-02-26_17:17:09,False,http://pbs.twimg.com/profile_images/1621186402707996672/gU3mqu7n_normal.jpg,,https://t.co/scJEOSFVjE
1621248374619144192,2023-02-03_05:45:08,"RT @kubomatsu: 凍結祭りについてとりあえずざっと調べた感じ
・マロや質問箱のツイート等ツイート文章が全く同じになる投稿を頻繁にしている=bot誤認
・フォローしてない人フォロワーじゃない人へDM送る
・自分の垢でのツイートを自分の別垢でRT
・電話番号承認していな…",0,23731,1549373059504967680,momonemakiri,桃音,"成人済。
🐉如真桐右桐固定垢。リバ逆❌知識はほぼ実況動画。極、維新プレイ中。⚠スクショやネタバレガンガンするので要注意⚠イラストの無断使用等🚫
裏垢@momonemakiri2
ﾎﾟｲﾋﾟｸ→https://t.co/kTUVoYPbiC",65,166,2022-07-19_21:39:18,False,http://pbs.twimg.com/profile_images/1619253700924690432/2K3wz1qX_normal.jpg,,
1621248374241636353,2023-02-03_05:45:08,RT @Mizune_01_: 現在凍結祭り起きているらしく、公式さんのヘルプから異議申し立てできますので皆さんお気をつけくださいhttps://t.co/QSYiYPrdYE,0,8933,6343092,STARexp,スターエクスプレス🌠,(Blue加入中💙)頑張ることは素敵だと思うんだけど、頑張りすぎないでね、なんて思ったり。 ／ ニュース系ツイ→ @STARexp3 ／すき→ 一翔剣⚔️ 加賀地結ビ だいふくさん 周防珠樹🌱 てんぱりんこ #ナイセン団 ラジオ etc & これからも 🌱🤝・📗✎・🌟🌸 #スクメロ etc(敬称略),3832,2953,2007-05-27_00:42:01,False,http://pbs.twimg.com/profile_images/1336303055172558848/rKm_PiUZ_normal.jpg,http://abs.twimg.com/images/themes/theme4/bg.gif,https://t.co/1jhBh5UyHA
1621248370521313280,2023-02-03_05:45:07,"RT @Hinome_live: 凍結祭り別にいいけど
あんたらの言う Twitterルール とやらのどこに抵触してるのか言って欲しいよね。

バリバリ Twitterルール 破ってそうなアカウント(クッソママ活だのビジネスだのDM来るけど)が野放しにされてるのに""普通""にTw…",0,32,1364075184215392261,oparuso_9v9,ぱるちょん,愛とは🐱🥷🦀🐮￤ 🔫🐍💄🐑💖 ￤ よく呟くのでご勘弁 @Haru_Amaya_ @ikurachan_1219 の日常垢 ヨさんとだるまのキモオタ,419,312,2021-02-23_13:50:50,False,http://pbs.twimg.com/profile_images/1598988599243915264/IdN1dr2W_normal.jpg,,https://t.co/q0pe3I2JXq
1621248364514889729,2023-02-03_05:45:06,"@makidoragon 最近凍結祭り多いよね…😭
牧那さん無事でよかった！！",1,0,1551564574683705345,Fuyuho_Shino,冬吠しの🔗🐾11日新衣装！,˗ˋˏ ワォーン.ᐟ.ᐟ ˎˊ˗ 瞳に流れ星🌠ｼﾍﾞﾘｱﾝﾊｽｷｰの冬吠しの(ﾌﾕﾎ ｼﾉ)です。 個人Vtuber┊歌･ｹﾞｰﾑ･ｺｽﾒ･睡眠･🍓ﾏﾏ ┊ FA⇢ #しの見て 利用規約､各種ﾘﾝｸ､🎁⇢https://t.co/iyKbP6aItk,198,2092,2022-07-25_22:46:44,False,http://pbs.twimg.com/profile_images/1618655450739933185/2CFNRPiC_normal.jpg,,https://t.co/tJhg7HXdlT
1621248354197053440,2023-02-03_05:45:03,"RT @otona_o: 今回の凍結ちょっと規模やばすぎる
いままでのいちばんフォロワーさんの数が減った凍結祭りの時だって80名減だったのが今夜はもう250名は減っている",0,34,144426005,cima_35,シーマさん16さい@竹馬庵,祖父ちゃンが軽巡洋艦那珂の乗員な縁で艦これ始めたにわか提督ﾌﾞｲﾝ所属 好/シーマ・ガラハウ中佐殿:『東方二次創作プロレス』:ザクグフドルメル:\乳/\尻/\太腿/:カレー:艦これ:ウマ娘(ID 320896419):MSSP RTテロ多め https://t.co/X4NQcav1sh,4912,1176,2010-05-16_16:34:59,False,http://pbs.twimg.com/profile_images/600247189089030144/Zep7iySy_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,
1621248353957990401,2023-02-03_05:45:03,"RT @kubomatsu: 凍結祭りについてとりあえずざっと調べた感じ
・マロや質問箱のツイート等ツイート文章が全く同じになる投稿を頻繁にしている=bot誤認
・フォローしてない人フォロワーじゃない人へDM送る
・自分の垢でのツイートを自分の別垢でRT
・電話番号承認していな…",0,23732,921081020,shizune_ne20311,静寧,成人済◇趣味で絵を描く人◇絵の仕事はのんびり ◇Live2D勉強中&セルフ受肉中◇鳥・ドラゴン・人外・ファンタジー系・青色が大好き◇私が描いた絵の無断転載及び無断利用は禁止です。DO NOT repost/use my artworks.,391,593,2012-11-02_23:00:54,False,http://pbs.twimg.com/profile_images/1590382342731796480/HDyKxtA__normal.jpg,http://abs.twimg.com/images/themes/theme16/bg.gif,https://t.co/VKuZFGeeGY
1621248353072979968,2023-02-03_05:45:03,RT @ami_mase: 聞いて！昨日の朝、フォローさん20人減。凍結祭り？一瞬凹んだけど。でも外部要因は、自分でコントロールできないし。だから、そこにフォーカスするのを止めた。できることをコツコツやるのがいいよね❶ツイートのブラッシュアップ❷営業活動（新規開拓）。鬼は外、福…,0,114,1577521479570587648,marine3150,まりん＠婚活アドバイザー,【婚活にお悩みの方に全力で寄り添いサポート】｜「恋愛や婚活の不安を和らげるヒントやマインド」「人間関係構築の考え方」を発信中｜20代は恋愛を謳歌👉30代で婚活につまずく👉夫とは知人の紹介で知り合い2週間でプロポーズを受け結婚｜職場では人間関係の悩み相談を60件以上受ける実績あり｜不安や悩みを軽減し最短の婚活へ！,985,1206,2022-10-05_13:51:19,False,http://pbs.twimg.com/profile_images/1577870841991557120/pB245dLA_normal.jpg,,
1621248350866767872,2023-02-03_05:45:02,"RT @ew_qbv: おはようございます
2月3日金曜日今日もガンバロー
節分&amp;恵方巻を食べる日?恵方巻
定着してきましたね。
また凍結祭り起きてるようね
先回電話番号登録全てしたから
今のところ大丈夫!
寒いけどみんな今日もよろしくね https://t.co/pec6NL…",0,37,1007409328704245760,C6AHRBdcSUjMCAw,とっきー🦋🌟🍇🌎🌟💙🍌☕😈💕🎃💍🐮,Vtvberが好きです。フォローしている方への返信に使っているので、自分からツイートすることは、あまりありません。,3933,3389,2018-06-15_08:47:55,False,http://pbs.twimg.com/profile_images/1314227341225160704/BbBI-jGU_normal.jpg,,
1621248338049003520,2023-02-03_05:44:59,"凍結祭り((( ；ﾟДﾟ)))ｶﾞｸｶﾞｸﾌﾞﾙﾌﾞﾙ
凍結されたかた大丈夫？",0,0,1176411014692098048,foETbR7UuIYbNvc,沙由理,"👹滅の472兄弟の強火の🍉推し‼️sngnですｯ‼️最近、サークルにてひとつなぎの大秘宝👓️⛑️を生成中。／雑多です／成人済み二十歳以上／全て無断転載禁止/感想を貰えると喜び蒸せます。 
https://t.co/qfMfaYu6Oq",113,328,2019-09-24_17:20:39,False,http://pbs.twimg.com/profile_images/1491583270391521280/alUOGyX9_normal.jpg,,
1621248337029787648,2023-02-03_05:44:59,Twitterの凍結祭りでみんなが凍結されてるの悲しいのだ😢戻ってこれるかなー😭😭😭💦,13,0,1405207481517633539,TapiokaMattea,まってぃ👑新人Vtuber,"夢はアイドル実況者!!#新人Vtuber の""まってぃ""です🙇‍♂️✨必死にアイドル活動やらせていただいてます！！！長所は明るさ爆発！努力のゴリ押し！！挫けない心を持っています！！！！そんな僕を😤ママを🧕🏻よろしくね！ママ:みかむさん",185,331,2021-06-17_01:56:12,False,http://pbs.twimg.com/profile_images/1607416681672114177/6pcsIPqW_normal.jpg,,https://t.co/d0rbB1kbla
1621248334861328385,2023-02-03_05:44:59,"なるほど、凍結祭りでフォロワーが減ってんのか…
あんまり増えたとか減ったとかそこまで気にしてないけど( ꒪⌓꒪)",0,0,267135546,kazakiri1213,風斬あおい@スケブ募集中/2.11合同現地,二児ママです♡ アイマスの美希担当、鬼滅、怪獣8号、メイアビ好きです💕 まったりお絵描きしてます(*´◒`*) skeb→https://t.co/ZzUjk7mSmT  お仕事のご依頼はDMまたはこちらのアドレスまで☆→kazakiri_aoi111@hotmail.co.jp,601,329,2011-03-16_20:42:01,False,http://pbs.twimg.com/profile_images/1621051681608962049/mqVqmgo7_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,https://t.co/J1YiBrMtBO
1621248330138542080,2023-02-03_05:44:57,@kamiGODkotubu 超絶凍結祭りだね…おまけに規模がかなりデカすぎる,0,0,1603122314115051522,Astosub_0,さぶあすと,"アスト(@Astoshi_0)のサブ、主に鍵垢とかサブ垢をフォローします

深夜に変なことツイートしたりフォローしてくださった方に空リプしたりするアカウント",17,16,2022-12-15_05:18:46,False,http://pbs.twimg.com/profile_images/1603333451830022147/3wza-ltX_normal.jpg,,
1621248323515723777,2023-02-03_05:44:56,"RT @kubomatsu: 凍結祭りについてとりあえずざっと調べた感じ
・マロや質問箱のツイート等ツイート文章が全く同じになる投稿を頻繁にしている=bot誤認
・フォローしてない人フォロワーじゃない人へDM送る
・自分の垢でのツイートを自分の別垢でRT
・電話番号承認していな…",0,23732,2543082600,sour5cream,由宇(ペン、9th予約),ハッピーオタクライフ SixTONESゆるヲタ 松村北斗 / 日本アカデミー賞話題賞 すずめの戸締まり 投票中🏆 ⚠️投票締切：2023/2/3(金)まで,175,1012,2014-06-03_17:51:17,False,http://pbs.twimg.com/profile_images/1546084474848284672/7QRumbLp_normal.png,http://abs.twimg.com/images/themes/theme1/bg.png,https://t.co/f3HglnwM8k
